state,district,market,commodity_group,commodity,variety,arrivals,unit_of_arrivals,min_price,max_price,modal_price,unit_of_price,arrival_date
Karnataka,Unknown,Srirangapattana APMC,Cereals,Paddy(Common),1001,1144.5,Metric Tonnes,2228.0,2400.0,2300.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Doddaballapur APMC,Cereals,Ragi(Finger Millet),Local,30.0,Metric Tonnes,3000.0,3200.0,3000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,H.B. Halli APMC,Cereals,Ragi(Finger Millet),Feeds (Poultry Quality),49.6,Metric Tonnes,3200.0,3200.0,3200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,HarappanaHalli APMC,Cereals,Ragi(Finger Millet),Local,20.0,Metric Tonnes,3400.0,3400.0,3400.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Tarikere APMC,Cereals,Ragi(Finger Millet),Local,10.100000000000001,Metric Tonnes,4000.0,4000.0,4000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bhadravathi APMC,Cereals,Rice,Broken Rice,20.0,Metric Tonnes,2200.0,2200.0,2200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bhadravathi APMC,Cereals,Rice,Medium,42.900000000000006,Metric Tonnes,2500.0,3000.0,2800.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bidar APMC,Cereals,Rice,CR 1009 (Coarse) Boiled,12.5,Metric Tonnes,4800.0,5600.0,5100.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bidar APMC,Cereals,Rice,Broken Rice,12.5,Metric Tonnes,2000.0,3000.0,2500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Doddaballapur APMC,Cereals,Rice,Other,31.0,Metric Tonnes,4400.0,6180.0,5200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gangavathi APMC,Cereals,Rice,Other,579.9,Metric Tonnes,2300.0,2960.0,2500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hanagal APMC,Cereals,Rice,CR 1009 (Coarse) Boiled,25.8,Metric Tonnes,2200.0,2200.0,2200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Cereals,Rice,Fine,1.0,Metric Tonnes,4200.0,5500.0,4500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Cereals,Rice,Coarse,1.0,Metric Tonnes,3200.0,4300.0,3550.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Cereals,Rice,Broken Rice,1.5,Metric Tonnes,2200.0,3300.0,2350.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Manvi APMC,Cereals,Rice,Other,97.4,Metric Tonnes,2600.0,2600.0,2600.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Arasikere APMC,Cereals,Wheat,Local,16.0,Metric Tonnes,2875.0,3490.0,2875.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Basava Kalayana APMC,Cereals,Wheat,Mexican,1.2000000000000002,Metric Tonnes,2400.0,2510.0,2482.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Basava Kalayana APMC,Cereals,Wheat,Mill Quality,1.6,Metric Tonnes,3800.0,4280.0,4050.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bidar APMC,Cereals,Wheat,Red,10.0,Metric Tonnes,2500.0,3475.0,3100.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hiriyur APMC,Cereals,Wheat,Medium,2.6,Metric Tonnes,3801.0,3801.0,3801.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Cereals,Wheat,Sharbati,1.0,Metric Tonnes,2250.0,3100.0,2650.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Manvi APMC,Cereals,Wheat,Other,144.8,Metric Tonnes,2830.0,2830.0,2830.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Vijayapura APMC,Cereals,Wheat,Sona,3.5,Metric Tonnes,2340.0,3300.0,2820.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,APMC THIRTHAHALLI,Drug and Narcotics,Arecanut(Betelnut/Supari),Gorabalu,1.9000000000000001,Metric Tonnes,31500.0,31500.0,31500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,APMC THIRTHAHALLI,Drug and Narcotics,Arecanut(Betelnut/Supari),Rashi,0.30000000000000004,Metric Tonnes,47647.0,47647.0,47647.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bhadravathi APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Other,3.7,Metric Tonnes,26900.0,26900.0,26900.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bhadravathi APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Sippegotu,11.700000000000001,Metric Tonnes,11000.0,11000.0,11000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Channagiri APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Rashi,45.300000000000004,Metric Tonnes,49249.0,53100.0,51585.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Holalkere APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Other,47.1,Metric Tonnes,22661.0,26200.0,24912.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Holalkere APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Sippegotu,2.0,Metric Tonnes,12500.0,12500.0,12500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Honnali APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Sippegotu,3.7,Metric Tonnes,11200.0,11200.0,11200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Honnavar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Hosa Chali,1.8,Metric Tonnes,37000.0,39000.0,38000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Honnavar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Hale Chali,1.6,Metric Tonnes,40000.0,42000.0,41000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sagar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Chali,15.9,Metric Tonnes,34699.0,41629.0,40146.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sagar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Kempugotu,0.4,Metric Tonnes,36000.0,39219.0,37799.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sagar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Rashi,7.7,Metric Tonnes,38000.0,53470.0,52689.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sagar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Cqca,0.5,Metric Tonnes,16099.0,31499.0,30022.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sagar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Bilegotu,1.6,Metric Tonnes,22099.0,33101.0,29899.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sagar APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Sippegotu,4.2,Metric Tonnes,10759.0,22599.0,21599.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Shikaripura APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Rashi,1.7000000000000002,Metric Tonnes,46581.0,46581.0,46581.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sulya APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),New Variety,15.3,Metric Tonnes,39000.0,47500.0,43000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Sulya APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Cqca,90.30000000000001,Metric Tonnes,20000.0,34000.0,27000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Tiptur APMC,Drug and Narcotics,Arecanut(Betelnut/Supari),Rashi,1.3,Metric Tonnes,52500.0,52500.0,52500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bailahongal APMC,Fibre Crops,Cotton,N-44,54.6,Metric Tonnes,7600.0,8900.0,8575.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Raichur APMC,Fibre Crops,Cotton,H4,237.4,Metric Tonnes,8500.0,9231.0,8930.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Vijayapura APMC,Fibre Crops,Cotton,Bunny,12.200000000000001,Metric Tonnes,8093.0,9740.0,9478.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kustagi APMC,Forest Products,Neem Seed,Neem Seed,271.8,Metric Tonnes,900.0,1800.0,1434.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Apple,Apple,133.3,Metric Tonnes,11000.0,20000.0,18000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Apple,Apple,0.6000000000000001,Metric Tonnes,10000.0,20000.0,15000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Apple,Apple,0.2,Metric Tonnes,5000.0,7000.0,6000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Banana,Pachha Bale,54.6,Metric Tonnes,600.0,3000.0,1800.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Banana,Nendra Bale,4.800000000000001,Metric Tonnes,1000.0,2900.0,1950.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Banana,Elakki Bale,77.7,Metric Tonnes,1000.0,7000.0,4000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Banana,Nauti Bale,0.5,Metric Tonnes,700.0,2500.0,1600.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Channapatna APMC,Fruits,Banana,Elakki Bale,5.1000000000000005,Metric Tonnes,3000.0,6000.0,5300.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Channapatna APMC,Fruits,Banana,Pachha Bale,0.6000000000000001,Metric Tonnes,1700.0,2500.0,2200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Banana,Elakki Bale,4.0,Metric Tonnes,2800.0,5200.0,4200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Banana,Pachha Bale,3.0,Metric Tonnes,1200.0,3400.0,2800.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Chikoos(Sapota),Sapota,2.1,Metric Tonnes,2500.0,4000.0,3000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Chikoos(Sapota),Sapota,0.1,Metric Tonnes,1000.0,3000.0,2000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Grapes,Espani,7.0,Metric Tonnes,3000.0,5000.0,4000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Grapes,Black,3.0,Metric Tonnes,2500.0,3500.0,3000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Karbuja(Musk Melon),Karbhuja,92.0,Metric Tonnes,1000.0,2000.0,1500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Karbuja(Musk Melon),Karbhuja,0.2,Metric Tonnes,1000.0,2000.0,1500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Karbuja(Musk Melon),Karbhuja,0.2,Metric Tonnes,6000.0,8000.0,7000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Lime,Lime,0.2,Metric Tonnes,900.0,2200.0,1100.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gauribidanur APMC,Fruits,Lime,Lime,0.1,Metric Tonnes,3500.0,4500.0,4000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Mango,Neelam,4.800000000000001,Metric Tonnes,2500.0,4500.0,3500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Mango,Mango,0.8,Metric Tonnes,2000.0,4000.0,3000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Mousambi(Sweet Lime),Mousambi,166.0,Metric Tonnes,3200.0,4500.0,3600.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Mousambi(Sweet Lime),Mousambi,0.4,Metric Tonnes,4000.0,5000.0,4500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Orange,Nagpuri,0.2,Metric Tonnes,4000.0,6000.0,5000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Papaya,Papaya,27.0,Metric Tonnes,100.0,1800.0,1400.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Papaya,Papaya,0.4,Metric Tonnes,500.0,1000.0,800.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Papaya,Papaya,0.2,Metric Tonnes,5000.0,8000.0,6500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Pineapple,Pine Apple,35.0,Metric Tonnes,2500.0,3500.0,3000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Pineapple,Pine Apple,0.5,Metric Tonnes,2000.0,3000.0,2500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Pineapple,Pine Apple,0.2,Metric Tonnes,5000.0,7000.0,6500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Pomegranate,Pomogranate,234.0,Metric Tonnes,9000.0,18000.0,14000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Pomegranate,Pomogranate,0.5,Metric Tonnes,5000.0,6000.0,5500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Pomegranate,Pomogranate,0.2,Metric Tonnes,2000.0,6000.0,4000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Fruits,Water Melon,Water Melon,95.0,Metric Tonnes,800.0,1600.0,1400.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Fruits,Water Melon,Water Melon,0.4,Metric Tonnes,1000.0,2000.0,1500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Fruits,Water Melon,Water Melon,0.2,Metric Tonnes,3000.0,7000.0,5000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bagepalli APMC,"Live Stock,Poultry,Fisheries",Goat,Goat,100.0,Nos,1000.0,15000.0,9000.0,Rs./Unit,2026-07-16
Karnataka,Unknown,Bagepalli APMC,"Live Stock,Poultry,Fisheries",Sheep,Sheep Medium,974.0,Nos,3000.0,25000.0,10000.0,Rs./Unit,2026-07-16
Karnataka,Unknown,Arasikere APMC,Oil Seeds,Copra,Milling Copra,2.4000000000000004,Metric Tonnes,18000.0,18000.0,18000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Tiptur APMC,Oil Seeds,Copra,Copra,186.10000000000002,Metric Tonnes,30000.0,31725.0,31000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Hiriyur APMC,Oil Seeds,Ground Nut Seed,Ground Nut Seed,81.0,Metric Tonnes,10500.0,14301.0,12854.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bagalkot APMC,Oil Seeds,Groundnut,Gejje,19.8,Metric Tonnes,6092.0,8919.0,8502.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gangavathi APMC,Oil Seeds,Groundnut,Other,13.600000000000001,Metric Tonnes,8000.0,8000.0,8000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Laxmeshwar APMC,Oil Seeds,Groundnut,Gejje,0.2,Metric Tonnes,7679.0,7679.0,7679.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Raichur APMC,Oil Seeds,Groundnut,Shelled (Bunch),7.0,Metric Tonnes,5449.0,7525.0,6455.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Basava Kalayana APMC,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",White,0.2,Metric Tonnes,12800.0,12800.0,12800.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",White,2.0,Metric Tonnes,7500.0,12000.0,10000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Basava Kalayana APMC,Oil Seeds,Soyabean,Soyabeen,1.6,Metric Tonnes,7050.0,7400.0,7200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bhalki APMC,Oil Seeds,Soyabean,Soyabeen,14.4,Metric Tonnes,6102.0,7200.0,6988.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bidar APMC,Oil Seeds,Soyabean,Yellow,17.2,Metric Tonnes,6011.0,7368.0,7241.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Oil Seeds,Soyabean,Soyabeen,1.0,Metric Tonnes,6000.0,6800.0,6500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bagalkot APMC,Oil Seeds,Sunflower/Sunflower Seed,Sunflower,3.5,Metric Tonnes,7651.0,8121.0,8121.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Ballari APMC,Oil Seeds,Sunflower/Sunflower Seed,Sunflower,3.8000000000000003,Metric Tonnes,6369.0,8268.0,7899.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Others,Bunch Beans,Bunch Beans,87.0,Nos,4000.0,5000.0,4500.0,Rs./Unit,2026-07-16
Karnataka,Unknown,Davangere APMC,Others,Bunch Beans,Bunch Beans,20.0,Nos,700.0,2300.0,1600.0,Rs./Unit,2026-07-16
Karnataka,Unknown,Shimoga APMC,Others,Bunch Beans,Bunch Beans,2.0,Nos,3000.0,4000.0,3500.0,Rs./Unit,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Others,Gur(Jaggery),Other,2.0,Metric Tonnes,2400.0,4300.0,3600.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Srirangapattana APMC,Others,Gur(Jaggery),Kurikatu,17.6,Metric Tonnes,3700.0,4100.0,4000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Ballari APMC,Pulses,Alasande Gram,Alasande Gram,0.2,Metric Tonnes,4109.0,6219.0,5164.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bagepalli APMC,Pulses,Beans,Beans (Whole),1.7000000000000002,Metric Tonnes,4000.0,6000.0,4500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bangarpet APMC,Pulses,Beans,Beans (Whole),0.7000000000000001,Metric Tonnes,6000.0,7500.0,7300.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,"Binny Mill (F&V), Bengaluru APMC",Pulses,Beans,Beans (Whole),10.600000000000001,Metric Tonnes,4500.0,5000.0,4700.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Chikkamagaluru APMC,Pulses,Beans,Beans (Whole),8.8,Metric Tonnes,6000.0,7000.0,6500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Chintamani APMC,Pulses,Beans,Beans (Whole),1.2000000000000002,Metric Tonnes,4000.0,6000.0,5000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Davangere APMC,Pulses,Beans,Beans (Whole),2.5,Metric Tonnes,1700.0,4000.0,3200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Doddaballapur APMC,Pulses,Beans,Beans (Whole),0.30000000000000004,Metric Tonnes,6000.0,7000.0,6500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gauribidanur APMC,Pulses,Beans,Beans (Whole),0.30000000000000004,Metric Tonnes,3000.0,4000.0,3500.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Gundlupet APMC,Pulses,Beans,Beans (Whole),1.0,Metric Tonnes,3300.0,3300.0,3300.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Honnali APMC,Pulses,Beans,Beans (Whole),3.0,Metric Tonnes,4000.0,4500.0,4300.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Kalaburagi APMC,Pulses,Beans,Beans (Whole),0.2,Metric Tonnes,1100.0,1800.0,1450.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Malur APMC,Pulses,Beans,Beans (Whole),27.200000000000003,Metric Tonnes,6500.0,8000.0,7000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Ramanagara APMC,Pulses,Beans,Beans (Whole),0.8,Metric Tonnes,4000.0,6000.0,5200.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Shimoga APMC,Pulses,Beans,Beans (Whole),1.8,Metric Tonnes,6000.0,8000.0,7000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bagalkot APMC,Pulses,Bengal Gram(Gram)(Whole),Average (Whole),0.2,Metric Tonnes,4749.0,5069.0,4856.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bailahongal APMC,Pulses,Bengal Gram(Gram)(Whole),Jawari/Local,27.3,Metric Tonnes,5800.0,6350.0,6248.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bhalki APMC,Pulses,Bengal Gram(Gram)(Whole),Average (Whole),8.6,Metric Tonnes,5251.0,6151.0,6000.0,Rs./Quintal,2026-07-16
Karnataka,Unknown,Bidar APMC,Pulses,Bengal Gram(Gram)(Whole),Jawari/Local,35.5,Metric Tonnes,3589.0,6421.0,5936.0,Rs./Quintal,2026-07-16
